brand_cluster,cluster_fein_count,cluster_total_positions,employer_fein,canonical_name,positions,filings,suggested_action,your_decision__keep_reject,your_merge_target_brand
qualcomm,4,73890,45-3157787,"Qualcomm Technologies, Inc.",59679,672,MERGE?,MERGE,Qualcomm
qualcomm,4,73890,77-0485570,"Qualcomm Atheros, Inc.",6805,73,MERGE?,MERGE,Qualcomm
qualcomm,4,73890,26-4049231,"Qualcomm Innovation Center, Inc.",4104,45,MERGE?,MERGE,Qualcomm
qualcomm,4,73890,95-3685934,Qualcomm Incorporated,3302,35,MERGE?,MERGE,Qualcomm
amazon,5,47702,82-0544687,Amazon.com Services LLC,33464,5346,MERGE?,MERGE,Amazon
amazon,5,47702,20-4938068,"Amazon Web Services, Inc.",7724,1256,MERGE?,MERGE,Amazon
amazon,5,47702,20-8424306,"Amazon Development Center U.S., Inc.",3715,747,MERGE?,MERGE,Amazon
amazon,5,47702,91-1986543,"Amazon Data Services, Inc",2445,420,MERGE?,MERGE,Amazon
amazon,5,47702,42-1749823,Amazon Advertising LLC,354,57,MERGE?,MERGE,Amazon
goldman,3,42853,13-5108880,GOLDMAN SACHS & CO. LLC,14585,527,MERGE?,MERGE,Goldman Sachs
goldman,3,42853,13-3571598,GOLDMAN SACHS BANK USA,14178,219,MERGE?,MERGE,Goldman Sachs
goldman,3,42853,13-3937419,GOLDMAN SACHS SERVICES LLC,14090,329,MERGE?,MERGE,Goldman Sachs
cgi,2,9306,54-0856778,CGI Technologies and Solutions Inc.,9201,283,MERGE?,MERGE,CGI
cgi,2,9306,27-0087176,CGI Federal Inc.,105,7,MERGE?,MERGE,CGI
oracle,2,5563,94-2805249,"Oracle America, Inc.",5448,465,MERGE?,MERGE,Oracle
oracle,2,5563,13-4200183,"Oracle Financial Services Software, Inc.",115,11,MERGE?,MERGE,Oracle
deloitte,4,4735,06-1454513,Deloitte Consulting LLP,3666,1794,MERGE?,MERGE,Deloitte
deloitte,4,4735,13-3891517,Deloitte & Touche LLP,536,270,MERGE?,MERGE,Deloitte
deloitte,4,4735,86-1065772,Deloitte Tax LLP,403,201,MERGE?,MERGE,Deloitte
deloitte,4,4735,13-4147118,Deloitte Services LP,130,64,MERGE?,MERGE,Deloitte
university,18,2859,38-6006309,University of Michigan,433,433,REJECT_generic_token,REJECT,
university,18,2859,52-6002033,University of Maryland College Park,242,242,REJECT_generic_token,REJECT,
