employer_fein,employer_name_raw,total_positions,filing_count
45-3157787,"Qualcomm Technologies, Inc.",59679,672
82-0544687,Amazon.com Services LLC,33464,5346
26-1645086,"Grandison Management, Inc.",16401,411
13-5108880,GOLDMAN SACHS & CO. LLC,14585,527
13-3571598,GOLDMAN SACHS BANK USA,14178,219
13-3937419,GOLDMAN SACHS SERVICES LLC,14090,329
77-0059951,"Cisco Systems, Inc.",11905,658
94-2404110,Apple Inc.,9978,3995
54-0856778,CGI Technologies and Solutions Inc.,9201,283
94-3177549,NVIDIA Corporation,7840,1282
20-4938068,"Amazon Web Services, Inc.",7724,1256
77-0485570,"Qualcomm Atheros, Inc.",6805,73
58-1760235,INFOSYS LIMITED,6738,2454
20-1665019,"Meta Platforms, Inc",6663,2631
13-2624428,JPMorgan Chase & Co.,6574,1843
13-3796161,"McKinsey & Company, Inc. United States",6037,305
94-2805249,"Oracle America, Inc.",5448,465
77-0493581,Google LLC,4345,3058
47-0912023,LinkedIn Corporation,4296,822
34-6565596,Ernst & Young U.S. LLP,4268,4268
26-4049231,"Qualcomm Innovation Center, Inc.",4104,45
20-8424306,"Amazon Development Center U.S., Inc.",3715,747
06-1454513,Deloitte Consulting LLP,3666,1794
94-1347393,"WELLS FARGO BANK, N.A.",3520,335
13-3924155,COGNIZANT TECHNOLOGY SOLUTIONS US CORP,3447,3447
20-2530195,"Palo Alto Networks, Inc.",3394,256
56-1546236,"Synopsys, Inc.",3384,120
95-3685934,Qualcomm Incorporated,3302,35
46-0636374,Snowflake Inc.,3091,223
91-1144442,Microsoft Corporation,3083,2915
59-3264661,KFORCE INC.,2830,283
91-1986543,"Amazon Data Services, Inc",2445,420
94-1672743,Intel Corporation,2202,1173
98-0429806,TATA CONSULTANCY SERVICES LIMITED,1851,1851
94-2905596,"Samsung Semiconductor, Inc.",1825,96
13-1986759,STV Incorporated,1784,69
91-2197729,"Tesla, Inc.",1741,1210
94-3320693,"Salesforce, Inc.",1617,914
04-2432614,"Boston Consulting Group, Inc.",1484,213
94-1655526,"Applied Materials, Inc",1435,183
98-0154401,WIPRO LIMITED,1385,1080
99-3304769,TT Commerce & Global Services LLC,1383,921
26-3305132,"RANDSTAD DIGITAL, LLC",1340,371
58-2137105,"COMPUNNEL SOFTWARE GROUP, INC",1241,1195
95-2647125,"Western Digital Technologies, Inc.",1222,94
99-1519948,"Sandisk Technologies, Inc.",1170,90
77-0034661,Intuit Inc.,1169,387
39-4127630,Tavaro,1150,3
20-2056195,"ServiceNow, Inc.",1128,311
26-3607129,"Pinterest, Inc.",1112,226
20-8636067,"Fidelity Technology Group, LLC d/b/a Fidelity Investments",1108,1108
22-2575929,Capgemini America Inc,1055,1055
46-4364776,"Robinhood Markets, Inc.",1049,87
22-3524303,LTIMindtree Limited,931,717
77-0510487,"PayPal, Inc.",928,928
72-0542904,Accenture LLP,858,858
13-3417984,Bloomberg L.P.,825,167
26-0116361,Morgan Stanley Services Group Inc.,808,352
71-0794409,"WAL-MART ASSOCIATES, INC.",804,804
91-1996083,"Expedia, Inc.",803,227
77-0019522,Adobe Inc.,796,796
95-4759720,Mphasis Corporation,738,738
77-0205035,HCL AMERICA INC,697,697
47-1523316,Zoox Inc.,666,144
13-0871985,IBM Corporation,602,602
94-1081436,HP Inc.,598,142
86-1696045,"Anthropic, PBC",595,121
94-3326476,"ExlService.com, LLC",592,156
26-2188108,Wayfair LLC,587,236
46-4073600,"Regeneron Pharmaceuticals, Inc.",586,59
13-5266470,"Citibank, N.A.",580,580
13-6400434,New York City Department of Education,570,44
25-1873382,"Mastech Digital Technologies, Inc.",540,90
13-3891517,Deloitte & Touche LLP,536,270
77-0430924,eBay Inc.,497,497
20-8775560,"Insight Global, LLC",468,166
52-0904874,Federal Home Loan Mortgage Corporation,464,58
54-1780389,"Capital One Services, LLC",446,446
77-0467272,"Netflix, Inc.",444,154
38-6006309,University of Michigan,433,433
26-3665565,"People Tech Group, Inc",428,428
83-1960637,"OpenAI OpCo, LLC",427,137
46-4314843,"Fujitsu North America, Inc.",418,43
23-2933918,STV Construction Inc.,407,15
86-1065772,Deloitte Tax LLP,403,201
81-4350409,Arriver Software LLC,400,4
99-4385501,COIN & LIFE SAVING EXCHANGE,400,2
91-1352172,MultiCare Health System,379,25
35-0257090,Cummins Inc.,371,371
38-0549190,FORD MOTOR COMPANY,370,370
45-2647441,"Uber Technologies, Inc.",356,356
13-2655998,"Morgan Stanley & Co., LLC",356,90
42-1749823,Amazon Advertising LLC,354,57
27-0383222,General Motors,352,352
46-4958214,PricewaterhouseCoopers Advisory Services LLC,349,349
74-2782655,"AT&T SERVICES, INC.",340,340
45-2588732,Annapurna Labs (U.S.) Inc.,334,55
51-0406223,"Infinite Computer Solutions, Inc.",331,331
53-0075853,Government Employee Insurance Company (GEICO),320,320
47-3556480,"Rivian Automotive, LLC",320,320
95-1528961,Infineon Technologies Americas Corp.,315,122
11-3403915,Brookhaven National Laboratory,303,303
33-0480482,Broadcom Corporation,299,61
22-3282696,"TECH MAHINDRA (AMERICAS), INC",290,290
26-1539797,UST Global Inc,286,286
95-1780067,City National Bank,285,44
84-1496755,"Charter Communications, Inc.",274,274
33-1916502,X.AI LLC,269,23
94-1692300,"Advanced Micro Devices, Inc.",265,265
23-1352685,TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,261,261
31-0841368,U.S. Bank National Association,259,259
94-3292913,VMware LLC,254,56
04-3512883,VIRTUSA CORPORATION,253,253
41-6011702,Mayo Clinic,251,251
74-3070018,Visa Technology & Operations LLC,251,251
